click,price,score,judge,rec_most,rec_more,rec_normal,rec_bad,rec_morebad,readed,reading,readup
1,49.8,8.3,3833,1921,1208,521,111,72,3920,410,4894
1,48.0,8.8,4554,2382,1722,400,41,9,5503,992,22470
1,27.0,8.2,18566,7130,8485,2655,241,55,22919,1312,9928
1,30.0,9.1,19957,12495,6267,1117,59,19,24238,2255,38808
0,23.0,8.1,14117,3854,7144,2894,197,28,20793,859,13950
0,36.0,6.2,76941,15080,21005,25622,10464,4770,90958,4178,22909
0,42.0,6.4,7127,726,2172,3112,854,263,7600,955,3907
0,32.0,6.1,10017,2384,2715,2374,861,1683,11783,340,1956
0,295.2,8.5,23483,11366,9253,2442,258,164,30751,1231,3181
1,69.0,9.1,887,480,351,54,2,0,934,282,11954
1,39.5,7.6,10326,2716,4741,2530,278,61,11108,348,1143
1,29.0,8.9,607733,347972,215962,40150,2433,1216,859958,56303,360005
1,32.0,8.6,11216,7000,3219,830,134,33,11913,257,6690
1,39.5,7.7,2689,796,1348,495,37,13,2941,99,504
1,86.0,8.5,8213,5143,2366,599,73,32,9009,265,1744
1,18.0,9.0,87706,53501,28680,5262,263,0,112991,2453,61715
0,20.0,8.4,47390,21563,20663,4786,331,47,60206,1374,20162
0,8.0,9.3,2705,1897,685,113,10,0,3162,147,4132
1,49.8,8.7,4925,2480,1875,502,54,14,6312,1121,46273
1,49.5,8.6,1317,657,528,118,11,3,1385,188,1090
0,48.0,8.0,2139,612,1127,365,27,8,2297,75,1534
1,56.0,9.2,3754,2460,1059,206,22,7,4241,954,32213
1,39.8,9.2,6576,4559,1664,315,32,6,6736,597,4110
0,120.0,8.9,776,404,307,59,4,2,708,357,12588
1,45.0,7.6,3915,744,2052,1030,74,15,4764,121,3565
1,45.0,7.6,13456,3112,6776,3273,255,40,14683,252,4553
1,11.0,8.4,49319,20320,20221,7496,937,345,68747,14756,65794
1,18.0,8.4,181811,82990,77894,19837,909,181,218139,3544,63581
0,45.0,8.0,7543,2520,3629,1282,90,22,8245,243,2151
0,13.5,8.3,33993,11750,15690,6011,475,67,47452,1094,21114
1,69.0,7.7,7903,1525,3984,2110,237,47,7894,1193,28819
